,dateTime,symbol,change
324,2022-05-23 13:30:00-04:00,GOOG,-0.21700100348612195%
325,2022-05-23 14:30:00-04:00,GOOG,0.08134238170493632%
326,2022-05-23 15:30:00-04:00,GOOG,-0.018782400323057287%
327,2022-05-24 09:30:00-04:00,GOOG,4.856129265902184%
328,2022-05-24 10:30:00-04:00,GOOG,1.5769334708062304%
329,2022-05-24 11:30:00-04:00,GOOG,-0.8006156914099808%
330,2022-05-24 12:30:00-04:00,GOOG,0.5057315821878015%
331,2022-05-24 13:30:00-04:00,GOOG,-1.1542357337023652%
332,2022-05-24 14:30:00-04:00,GOOG,0.26597309629782184%
333,2022-05-24 15:30:00-04:00,GOOG,-0.43517525065645035%
334,2022-05-25 09:30:00-04:00,GOOG,0.34258166532390655%
335,2022-05-25 10:30:00-04:00,GOOG,-0.41590975106087147%
336,2022-05-25 11:30:00-04:00,GOOG,0.43813763701474806%
337,2022-05-25 12:30:00-04:00,GOOG,1.0919364849785753%
338,2022-05-25 13:30:00-04:00,GOOG,-0.9957379736915607%
339,2022-05-25 14:30:00-04:00,GOOG,-0.6168446108146144%
340,2022-05-25 15:30:00-04:00,GOOG,0.3620014846231288%
341,2022-05-26 09:30:00-04:00,GOOG,-1.73419444158571%
342,2022-05-26 10:30:00-04:00,GOOG,-0.18925419560185183%
343,2022-05-26 11:30:00-04:00,GOOG,-0.41690620958418356%
344,2022-05-26 12:30:00-04:00,GOOG,-0.27586605144399107%
345,2022-05-26 13:30:00-04:00,GOOG,0.09200487495874234%
346,2022-05-26 14:30:00-04:00,GOOG,0.05190973783619938%
347,2022-05-26 15:30:00-04:00,GOOG,-0.008729045382396702%
348,2022-05-27 09:30:00-04:00,GOOG,-2.6199434995099034%
349,2022-05-27 10:30:00-04:00,GOOG,-0.4373089076176323%
350,2022-05-27 11:30:00-04:00,GOOG,-0.3147680623727969%
351,2022-05-27 12:30:00-04:00,GOOG,0.08888888888888889%
352,2022-05-27 13:30:00-04:00,GOOG,0.06094827346530249%
353,2022-05-27 14:30:00-04:00,GOOG,-0.3351699963791252%
354,2022-05-27 15:30:00-04:00,GOOG,-0.1419684244808237%
355,2022-05-31 09:30:00-04:00,GOOG,-1.1066014849212327%
356,2022-05-31 10:30:00-04:00,GOOG,-0.2781633134423673%
357,2022-05-31 11:30:00-04:00,GOOG,-0.9726630916375104%
358,2022-05-31 12:30:00-04:00,GOOG,-0.39118281457873316%
359,2022-05-31 13:30:00-04:00,GOOG,-0.37413659874231253%
360,2022-05-31 14:30:00-04:00,GOOG,0.39112070245303326%
361,2022-05-31 15:30:00-04:00,GOOG,-0.011988305139941096%
362,2022-06-01 09:30:00-04:00,GOOG,-1.2130100141390319%
363,2022-06-01 10:30:00-04:00,GOOG,1.7244606245020704%
364,2022-06-01 11:30:00-04:00,GOOG,0.5772535705787422%
365,2022-06-01 12:30:00-04:00,GOOG,0.2693754975034373%
366,2022-06-01 13:30:00-04:00,GOOG,-0.7731651572670515%
367,2022-06-01 14:30:00-04:00,GOOG,0.0038966271409610165%
368,2022-06-01 15:30:00-04:00,GOOG,0.2170865922530128%
369,2022-06-02 09:30:00-04:00,GOOG,-0.4131613096023896%
370,2022-06-02 10:30:00-04:00,GOOG,-0.4906718139226383%
371,2022-06-02 11:30:00-04:00,GOOG,-0.6752338972148981%
372,2022-06-02 12:30:00-04:00,GOOG,-0.8797147573500731%
373,2022-06-02 13:30:00-04:00,GOOG,0.019933778434758295%
374,2022-06-02 14:30:00-04:00,GOOG,0.06151185131097198%
375,2022-06-02 15:30:00-04:00,GOOG,-0.09423666076595036%
376,2022-06-03 09:30:00-04:00,GOOG,1.3006973139105367%
377,2022-06-03 10:30:00-04:00,GOOG,0.8331112878150511%
378,2022-06-03 11:30:00-04:00,GOOG,0.8584005163139575%
379,2022-06-03 12:30:00-04:00,GOOG,-0.47222492234062313%
380,2022-06-03 13:30:00-04:00,GOOG,0.1933567353711245%
381,2022-06-03 14:30:00-04:00,GOOG,0.026803384142717858%
382,2022-06-03 15:30:00-04:00,GOOG,-0.02942883161258928%
383,2022-06-06 09:30:00-04:00,GOOG,-4.073177813933203%
384,2022-06-06 10:30:00-04:00,GOOG,0.18758582220057962%
385,2022-06-06 11:30:00-04:00,GOOG,0.7661038997621066%
386,2022-06-06 12:30:00-04:00,GOOG,0.6868200209290233%
387,2022-06-06 13:30:00-04:00,GOOG,-0.540438684717043%
388,2022-06-06 14:30:00-04:00,GOOG,0.49879872115827245%
389,2022-06-06 15:30:00-04:00,GOOG,0.3036303698939969%
390,2022-06-07 09:30:00-04:00,GOOG,0.3032733028934558%
391,2022-06-07 10:30:00-04:00,GOOG,-0.8268541109034383%
392,2022-06-07 11:30:00-04:00,GOOG,0.7776099586490395%
393,2022-06-07 12:30:00-04:00,GOOG,-0.04900240404331479%
394,2022-06-07 13:30:00-04:00,GOOG,-0.500258520336324%
395,2022-06-07 14:30:00-04:00,GOOG,0.06512148528942328%
396,2022-06-07 15:30:00-04:00,GOOG,-0.030455580759018788%
397,2022-06-08 09:30:00-04:00,GOOG,-0.5911822751552096%
